restaurantname,pricerange,area,food,phone,addr,postcode,good food,open kitchen ,hygiene
da vinci pizzeria,cheap,north,traditional,01223 351707,20 milton road chesterton,c.b 4,yes,no,bad
shiraz restaurant,expensive,centre,mediterranean,01223 307581,84 regent street city centre,c.b 2,no,yes,good
the lucky star,cheap,south,chinese,01223 244277,cambridge leisure park clifton way cherry hinton,c.b 1,yes,no,good
royal spice,cheap,north,indian,01733 553355,victoria avenue chesterton,c.b 4,yes,yes,bad
ask,cheap,centre,seafood,01223 364917,12 bridge street city centre,c.b 2,no,yes,good
taj tandoori,expensive,south,portuguese,01223 412299,64 cherry hinton road cherry hinton,c.b 1,yes,no,good
tandoori palace,moderate,north,indian,01223 506055,68 histon road chesterton,c.b 4,no,no,bad
yippee noodle bar,moderate,centre,asian oriental,01223 518111,40428 king street city centre,c.b 1,yes,no,good
travellers rest,expensive,west,british,01223 276182,huntingdon road city centre,,yes,no,bad
maharajah tandoori restaurant,expensive,east,indian,01223 358399,41518 castle street city centre,c.b 3,yes,yes,good
shanghai family restaurant,moderate,east,chinese,01223 301761,39 burleigh street city centre,,yes,yes,good
curry prince,expensive,east,indian,01223 566388,451 newmarket road fen ditton,c.b 5,yes,no,good
the gandhi,cheap,centre,indian,01223 353942,72 regent street city centre,,no,yes,good
kymmoy,expensive,centre,asian oriental,01223 311911,52 mill road city centre,c.b 1,no,yes,good
golden house,cheap,centre,polynesian,01842 753771,12 lensfield road city centre,,yes,no,good
bedouin,expensive,centre,african,01223 367660,100 mill road city centre,c.b 1,yes,no,good
pipasha restaurant,expensive,east,indian,01223 577786,newmarket road fen ditton,c.b 5,no,no,good
charlie chan,cheap,centre,chinese,01223 361763,regent street city centre,c.b 2,no,no,good
lan hong house,moderate,centre,thai,01223 350420,12 norfolk street city centre,,yes,yes,bad
la tasca,moderate,centre,spanish,01223 464630,14 -16 bridge street,c.b 2,no,no,good
backstreet bistro,expensive,south,gastropub,01223 306306,2 sturton street city centre,c.b 1,no,no,good
la raza,cheap,centre,spanish,01223 464550,4 - 6 rose crescent,c.b 2,no,no,good
the slug and lettuce,expensive,east,gastropub,dontcare,34 - 35 green street,c.b 2,yes,no,good
restaurant one seven,moderate,north,british,01223 337766,de vere university arms regent street city centre,,yes,yes,bad
fitzbillies restaurant,expensive,centre,british,01223 352500,51 trumpington street city centre,,yes,no,good
anatolia,moderate,centre,turkish,01223 362372,30 bridge street city centre,c.b 2,yes,no,good
clowns cafe,moderate,centre,bistro,01223 355711,,c.b 1,no,yes,good
kohinoor,cheap,west,indian,01223 323639,74 mill road city centre,,yes,yes,good
the cambridge chop house,cheap,centre,british,01223 359506,1 kings parade,,no,no,good
gourmet burger kitchen,expensive,centre,north american,01223 312598,regent street city centre,c.b 2,yes,no,good
la mimosa,expensive,centre,mediterranean,01223 362525,thompsons lane fen ditton,c.b 5,no,no,good
meze bar restaurant,expensive,centre,turkish,,196 mill road city centre,c.b 1,no,yes,good
the golden curry,expensive,south,australasian,01223 329432,,,yes,no,good
curry queen,moderate,,indian,,106 mill road city centre,c.b 1,yes,yes,good
hakka,cheap,north,persian,01223 568988,milton road chesterton,c.b 4,yes,yes,bad
the oak bistro,moderate,centre,british,01223 323361,6 lensfield road,,no,no,good
riverside brasserie,moderate,centre,gastropub,01223 259988,doubletree by hilton cambridge granta place mill lane,,no,no,good
the copper kettle,moderate,east,british,01223 365068,4 kings parade city centre,c.b 2,no,yes,bad
zizzi cambridge,expensive,south,italian,01223 365599,47-53 regent street,,yes,yes,good
saffron brasserie,expensive,centre,jamaican,,,,no,no,good
india house,expensive,west,indian,01223 461661,31 newnham road newnham,,yes,yes,good
ali baba,moderate,centre,lebanese,01462 432565,59 hills road city centre,c.b 2,no,no,good
rice boat,expensive,north,indian,01223 302800,37 newnham road newnham,,yes,yes,good
midsummer house restaurant,expensive,centre,british,01223 369299,midsummer common,,yes,no,bad
hotel du vin and bistro,moderate,centre,european,01223 227330,15 - 19 trumpington street,c.b 2,yes,yes,good
darrys cookhouse and wine shop,expensive,south,modern european,01223 505015,40270 king street city centre,c.b 1,no,no,bad
pizza express,cheap,centre,spanish,01223 324033,,c.b 2,no,yes,good
jinling noodle bar,moderate,centre,cuban,01223 566188,11 peas hill city centre,c.b 2,yes,no,good
graffiti,moderate,north,indian,01223 277977,hotel felix whitehouse lane huntingdon road,c.b 3,no,yes,good
wagamama,expensive,centre,japanese,01223 462354,36 saint andrews street,c.b 2,yes,no,good
pizza hut city centre,cheap,centre,italian,01223 323737,regent street city centre,,no,yes,good
curry king,expensive,centre,seafood,01223 324351,5 jordans yard bridge street city centre,,yes,no,good
panahar,expensive,centre,mediterranean,,,,yes,yes,good
ugly duckling,expensive,centre,catalan,,12 st. johns street city centre,,no,no,bad
pizza express fen ditton,moderate,centre,european,,jesus lane fen ditton,,no,no,good
sesame restaurant and bar,moderate,,turkish,,,,yes,yes,good
hk fusion,expensive,centre,thai,,21 burleigh street city centre,c.b 1,yes,no,good
